Country,GDP in 2021($ billion),Financial commitments($ billion),Humanitarian commitments($ billion),Military commitments($ billion),Total bilateral commitments($ billion),Share in EU commitments($ billion),Specific weapons and equipment($ billion),Financial commitments with military purpose($ billion),Total bilateral commitments of short term($ billion),EU_member_0,EU_member_1
Australia,0.06589930464075983,0.0,0.026724833843632206,0.011858240799903292,0.007451323201975917,0.0,7.743826307700278e-05,0.0,0.011404436793742234,True,False
Austria,0.019873379378648845,0.008810515609512765,0.03915096671774982,7.743826307700278e-05,0.010074760919987446,0.12649657925057636,0.00736053255651303,0.9521044861092083,0.027874792428314598,False,True
Belgium,0.0247552214907923,0.005941397114556137,0.059363037943244386,0.03648049516897785,0.027870551273506534,0.166334093496921,0.005661844228677016,0.0,0.003492322704428129,False,True
Bulgaria,0.0028626096358795126,0.0,0.00031903286155054127,0.005661844228677016,0.0030674648287005953,0.020880843783308584,0.03386464246550503,1.0,0.0940189291247834,False,True
Canada,0.08459937632883179,0.05910655119299973,0.12493098324443487,0.0644494816904692,0.09723934021033304,0.0,0.0014419957431744002,0.0965265325206803,0.00392170933702269,True,False
Croatia,0.0022144246757681493,0.0,0.02823059756203836,0.0043942442191790285,0.003447747422994116,0.01792331813125672,0.0,0.0,5.683636720322739e-05,False,True
Cyprus,0.0004740302588393633,1.2956640602224654e-05,0.0009847882870478498,0.0,2.4855772415823704e-05,0.00780359180183405,0.029767055256704714,0.0,0.019291188423397915,False,True
Czech Republic,0.011349345846365625,0.0,0.02317071906699549,0.029767055256704714,0.017059594966058095,0.07212086660800238,0.19319395766055916,0.0375299912882705,0.0675041713899624,False,True
Denmark,0.01635092553442974,0.001658119345164515,0.08006942405078926,0.1943418064094151,0.11039949529863087,0.10048460657779618,0.02057809073169047,0.0,0.009391865818720287,False,True
Estonia,0.0008510328124725636,0.0,0.056329890019137005,0.02057809073169047,0.01333088522981262,0.00990592928793492,0.0,0.0,0.568100803833959,False,True
EU (Commission and Council),0.7365552557035999,0.9999999999999999,0.7505728061116362,0.0,0.9999999999999999,0.0,0.04172219248104719,0.02268535825849912,0.030166368655280128,True,False
Finland,0.012015677089170689,0.001202376247886448,0.06441593725454305,0.04241602051565441,0.02669110521359479,0.08259692132219888,0.13060538192705545,0.0,0.09674215762761192,False,True
France,0.12621476066803394,0.010357538497418389,0.11879949718135374,0.13060538192705545,0.08565338262441012,0.8441063280760301,0.4275190728236655,0.09535412254655798,0.2863357929583786,False,True
Germany,0.18210243327141257,0.018229993327330087,1.0,0.4304354633291312,0.29022405357648934,1.0,0.0030919532396774135,0.0,0.0018996283762697781,False,True
Greece,0.00847764778716947,0.0,0.0,0.0030919532396774135,0.0016569087353055564,0.05897234892832619,0.0,0.0,0.0007680176447329607,False,True
Hungary,0.007060090080230613,0.0,0.01774297732235893,0.0,0.0006547073809714962,0.046287058154167726,0.0002113406194415183,0.00574756369525012,0.0005317160052576977,False,True
Iceland,0.00035361295020799974,0.00012330942732365662,0.0036650267795958792,0.0003871289308719153,0.00044542885743554096,0.0,0.0,0.002911287643174054,0.0016993723937649902,True,False
Ireland,0.02089554819869634,0.0005182656240889862,0.024865095999715647,8.904126444125926e-05,0.0014795537392043492,0.08480615732904363,0.023127601153573832,0.0,0.02462241860673044,False,True
Italy,0.08972290467646361,0.005312222646912108,0.10598411189234253,0.023127601153573832,0.021781153326278228,0.5914338651902263,0.0007005197989880326,0.026114064325943237,0.11091177553959908,False,True
